estado,Marque todas las plataformas,¿Cuál es la naturaleza legal,¿Cuáles son las temáticas,¿Cuáles son las fuentes de ingresos,¿El proyecto u organización periodística que refiere ha enfrentado
Trujillo,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Portal web de noticias",Privado,"Arte y cultura local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Publicidad, Subvenciones o financiamiento internacional","Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Trujillo,"Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Radio (AM o FM), Radio transmitida vía web",Proyecto u organización sin figura jurídica,"Arte y cultura local, Deporte local, Economía y desarrollo local, Medio ambiente y sostenibilidad",Publicidad,Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Trujillo,"Cuenta en Instagram, Radio (AM o FM)",No se maneja esta información,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,No se maneja esta información
Trujillo,"Cuenta en Instagram, Radio (AM o FM), Radio transmitida vía web",No se maneja esta información,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,No se maneja esta información
Trujillo,"Cuenta en Instagram, Portal web de noticias, No sé si se sigue imprimendo. Sugiero consultar con el corresponsal de  IPYS en Trujillo",Estatal,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Fondos gubernamentales,No se maneja esta información
Trujillo,"Cuenta en Instagram, Cuenta en Facebook",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,No se maneja esta información
Trujillo,"Cuenta en Instagram, Cuenta en TikTok, Radio (AM o FM), Radio transmitida vía web",Estatal,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Fondos gubernamentales,No se maneja esta información
Trujillo,Cuenta en Instagram,No se maneja esta información,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,No se maneja esta información
Trujillo,"Canal o grupo de mensajería en Telegram, Cuenta en Instagram",No se maneja esta información,"Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,No se maneja esta información
Trujillo,"Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook",No se maneja esta información,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,No se maneja esta información
Trujillo,"Cuenta en Facebook, Radio (AM o FM)",Estatal,Gobierno y política local,No se maneja esta información,No se maneja esta información
Trujillo,"Cuenta en Instagram, Radio (AM o FM), Radio transmitida vía web",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,No se maneja esta información
Trujillo,"Cuenta en Instagram, Radio (AM o FM), Radio transmitida vía web",Privado,"Arte y cultura local, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,No se maneja esta información
Trujillo,"Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Periódico (impreso), Portal web de noticias",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,No se maneja esta información
Trujillo,"Cuenta en Instagram, Cuenta en Facebook",Proyecto u organización sin figura jurídica,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,No se maneja esta información
Trujillo,"Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Threads, pero publican muy poco en esa red social",No se maneja esta información,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Publicidad",No se maneja esta información
Trujillo,"Cuenta en Instagram, Cuenta en Facebook, Portal web de noticias, Tuvo edición impresa hasta 2018",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,No se maneja esta información
Trujillo,"Cuenta en Instagram, Cuenta en Facebook",No se maneja esta información,"Arte y cultura local, Deporte local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos), Este medio publica principalmente publicidad. Muy poca información que casi siempre publica en colaboración con otros medios que la generan. No tiene generación propia de noticias",Publicidad,No se maneja esta información
Trujillo,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Su cuenta principal de Instagram la inhabilitaron el 19 de julio de 2026",No se maneja esta información,"Arte y cultura local, Deporte local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,No se maneja esta información
Trujillo,"Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok",No se maneja esta información,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,No se maneja esta información
Trujillo,"Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en Youtube",No se maneja esta información,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,No se maneja esta información
Trujillo,"Cuenta en Instagram, Cuenta en Facebook",No se maneja esta información,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,No se maneja esta información
Trujillo,"Cuenta en Instagram, Radio (AM o FM), Es un programa informativo que se transmite de lunes a viernes por la emisora Jardín 103.7 FM. Utilizan su cuenta en Instagram para difundir información y publicidad",No se maneja esta información,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,No se maneja esta información
Trujillo,Cuenta en Instagram,No se maneja esta información,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,No se maneja esta información
Trujillo,"Cuenta en Instagram, Cuenta en Facebook, Cuenta en Youtube",No se maneja esta información,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,No se maneja esta información
Trujillo,Cuenta en Instagram,No se maneja esta información,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,No se maneja esta información
Trujillo,"Cuenta en Instagram, Tienen una cuenta en Threads y un canal en Instagram, pero no publican allí desde hace más de 3 meses",No se maneja esta información,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,No se maneja esta información
Trujillo,Cuenta en Instagram,No se maneja esta información,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,No se maneja esta información
Trujillo,"Cuenta en Instagram, Cuenta en Facebook, TV (señal abierta o cable), TV transmitida vía web",No se maneja esta información,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",No se maneja esta información,No se maneja esta información
Trujillo,"Cuenta en Instagram, Cuenta en Facebook, TV (señal abierta o cable), TV transmitida vía web",No se maneja esta información,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Fondos gubernamentales, Publicidad",No se maneja esta información
Trujillo,"Cuenta en Instagram, Cuenta en TikTok",No se maneja esta información,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",No se maneja esta información,No se maneja esta información
Trujillo,"Cuenta en Instagram, Cuenta en Facebook, Tienen una cuenta en Threads y un blog en blogspot. Está actualizado",No se maneja esta información,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,No se maneja esta información
